2026-02-08 21:58:25,264 | INFO | tests.conftest | conftest.py:18 | spark_session | Running tests in ENV=local
2026-02-08 21:58:25,264 | INFO | tests.conftest | conftest.py:34 | spark_session | Configuring Spark for local mode with JARs
2026-02-08 21:58:25,264 | INFO | tests.conftest | conftest.py:50 | spark_session | Starting Spark session
2026-02-08 21:58:37,983 | INFO | tests.conftest | conftest.py:62 | spark_session | Configuring ADLS credentials
2026-02-08 21:58:39,904 | INFO | src.utility.general_utility | general_utility.py:30 | read_yml | Reading config file: C:\Users\shiva\PySpark_code\pycharmProject\ETL_Auto_01\Final_ETL_Automation\tests\table1\config.yml
2026-02-08 21:58:39,920 | INFO | src.utility.general_utility | general_utility.py:60 | read_data | Starting to read source and target data
2026-02-08 21:58:39,920 | INFO | src.utility.general_utility | general_utility.py:191 | read_file | Reading file type=csv path=C:\Users\shiva\PySpark_code\pycharmProject\ETL_Auto_01\Final_ETL_Automation\input_files\Reading_all_data.csv
2026-02-08 21:58:48,038 | INFO | src.utility.general_utility | general_utility.py:239 | read_file | File read & cached successfully
2026-02-08 21:58:48,038 | INFO | src.utility.general_utility | general_utility.py:87 | read_data | Successfully read & cached source and target data
2026-02-08 21:58:48,042 | INFO | tests.table1.test_table1 | test_table1.py:16 | test_count_check | Starting count check test
2026-02-08 21:58:48,417 | INFO | tests.table1.test_table1 | test_table1.py:27 | test_count_check | Count check status = PASS
2026-02-08 21:58:48,420 | INFO | tests.table1.test_table1 | test_table1.py:32 | test_only_in_source | Starting only-in-source test
2026-02-08 21:58:49,518 | INFO | tests.table1.test_table1 | test_table1.py:44 | test_only_in_source | Count check status = PASS
2026-02-08 21:58:49,520 | INFO | tests.table1.test_table1 | test_table1.py:50 | test_only_in_target | Starting only-in-target test
2026-02-08 21:58:49,958 | INFO | tests.table1.test_table1 | test_table1.py:62 | test_only_in_target | Count check status = PASS
2026-02-08 21:58:49,961 | INFO | tests.table1.test_table1 | test_table1.py:67 | test_scd2_check | Starting SCD2 validation
2026-02-08 21:59:08,940 | INFO | tests.table1.test_table1 | test_table1.py:84 | test_scd2_check | Completed SCD2 validation
2026-02-08 21:59:08,940 | INFO | src.utility.general_utility | general_utility.py:30 | read_yml | Reading config file: C:\Users\shiva\PySpark_code\pycharmProject\ETL_Auto_01\Final_ETL_Automation\tests\table2\config.yml
2026-02-08 21:59:08,958 | INFO | src.utility.general_utility | general_utility.py:60 | read_data | Starting to read source and target data
2026-02-08 21:59:08,958 | INFO | src.utility.general_utility | general_utility.py:128 | read_db | Reading database using credential prefix: SNOWFLAKE
2026-02-08 21:59:17,611 | INFO | src.utility.general_utility | general_utility.py:149 | read_db | Database read & cached successfully
2026-02-08 21:59:17,611 | INFO | src.utility.general_utility | general_utility.py:122 | read_db | Reusing cached DB DataFrame for db:SNOWFLAKE:READ_DATA
2026-02-08 21:59:17,613 | INFO | src.utility.general_utility | general_utility.py:87 | read_data | Successfully read & cached source and target data
2026-02-08 21:59:17,613 | INFO | tests.table2.test_table1 | test_table1.py:9 | test_count_check | Starting count check test
2026-02-08 21:59:17,878 | INFO | tests.table2.test_table1 | test_table1.py:13 | test_count_check | Count check status = PASS
2026-02-08 21:59:17,885 | INFO | src.utility.general_utility | general_utility.py:30 | read_yml | Reading config file: C:\Users\shiva\PySpark_code\pycharmProject\ETL_Auto_01\Final_ETL_Automation\tests\table3\config.yml
2026-02-08 21:59:17,896 | INFO | src.utility.general_utility | general_utility.py:60 | read_data | Starting to read source and target data
2026-02-08 21:59:17,896 | INFO | src.utility.general_utility | general_utility.py:191 | read_file | Reading file type=csv path=C:\Users\shiva\PySpark_code\pycharmProject\ETL_Auto_01\Final_ETL_Automation\input_files\customer_data\customer_data_04.csv
2026-02-08 21:59:18,444 | INFO | src.utility.general_utility | general_utility.py:239 | read_file | File read & cached successfully
2026-02-08 21:59:18,444 | INFO | src.utility.general_utility | general_utility.py:87 | read_data | Successfully read & cached source and target data
2026-02-08 21:59:18,446 | INFO | tests.table3.test_table1 | test_table1.py:14 | test_count_check | Starting count check test
2026-02-08 21:59:18,666 | INFO | tests.table3.test_table1 | test_table1.py:19 | test_count_check | Count check status = PASS
2026-02-08 21:59:18,676 | INFO | src.utility.general_utility | general_utility.py:30 | read_yml | Reading config file: C:\Users\shiva\PySpark_code\pycharmProject\ETL_Auto_01\Final_ETL_Automation\tests\table4\config.yml
2026-02-08 21:59:18,692 | INFO | src.utility.general_utility | general_utility.py:60 | read_data | Starting to read source and target data
2026-02-08 21:59:18,692 | INFO | src.utility.general_utility | general_utility.py:191 | read_file | Reading file type=json path=['C:\\Users\\shiva\\PySpark_code\\pycharmProject\\ETL_Auto_01\\Final_ETL_Automation\\input_files\\Complex.json', 'C:\\Users\\shiva\\PySpark_code\\pycharmProject\\ETL_Auto_01\\Final_ETL_Automation\\input_files\\customer_data\\Complex.json']
2026-02-08 21:59:19,341 | INFO | src.utility.general_utility | general_utility.py:239 | read_file | File read & cached successfully
2026-02-08 21:59:19,344 | INFO | src.utility.general_utility | general_utility.py:87 | read_data | Successfully read & cached source and target data
2026-02-08 21:59:19,346 | INFO | tests.table4.test_table1 | test_table1.py:14 | test_count_check | Starting count check test
2026-02-08 21:59:19,683 | INFO | tests.table4.test_table1 | test_table1.py:19 | test_count_check | Count check status = PASS
2026-02-08 21:59:19,685 | INFO | tests.conftest | conftest.py:80 | spark_session | Stopping Spark session
